Cement,Fine aggregate,Coarse aggregate,Water,Water-binder ratio,Superplasticizer,Fly ash,Silica fume,Blast furnace slag,Cl content in seawater,Annual temperature,Exposure time,Tidal zone,Splash zone,Submerged zone,Surface chloride concentration
340,800,1020,180,0.45,1,60,0,0,19,7,5,1,0,0,0.781
340,800,1020,180,0.45,1,60,0,0,19,7,5,1,0,0,0.792
340,800,1020,180,0.45,1,60,0,0,19,7,5,1,0,0,0.855
340,800,1020,180,0.45,1,60,0,0,19,7,5,1,0,0,0.921
340,800,1020,180,0.45,1,60,0,0,19,7,5,1,0,0,0.933
340,800,1020,180,0.45,1,60,0,0,19,7,9,1,0,0,0.714
340,800,1020,180,0.45,1,60,0,0,19,7,9,1,0,0,0.732
340,800,1020,180,0.45,1,60,0,0,19,7,8.97,1,0,0,0.811
340,800,1020,180,0.45,1,60,0,0,19,7,8.97,1,0,0,0.882
340,800,1020,180,0.45,1,60,0,0,19,7,8.97,1,0,0,0.921
340,800,1020,180,0.45,1,60,0,0,19,7,8.97,1,0,0,1
340,800,1020,180,0.45,1,60,0,0,19,7,8.97,1,0,0,1.032
340,800,1020,180,0.45,1,60,0,0,19,7,8.97,1,0,0,1.073
380,810,990,180,0.45,1.2,0,20,0,23.96,27.5,0.25,1,0,0,0.233
380,810,990,180,0.45,1.2,0,20,0,23.96,27.5,0.75,1,0,0,0.238
380,810,990,180,0.45,1.2,0,20,0,23.96,27.5,3,1,0,0,0.962
380,810,990,180,0.45,1.2,0,20,0,23.96,27.5,5,1,0,0,1.7
380,793,991,200,0.5,0.8,0,20,0,23.96,27.5,3,1,0,0,0.665
380,793,991,200,0.5,0.8,0,20,0,23.96,27.5,5,1,0,0,1.558
350,782,955,200,0.5,2,0,50,0,23.96,27.5,3,1,0,0,0.584
350,782,955,200,0.5,2,0,50,0,23.96,27.5,5,1,0,0,1.264
450,1232,410,169,0.35,7,0,32,0,27.37,27.5,0.5,1,0,0,0.459
450,1232,410,169,0.35,7,0,32,0,27.37,27.5,1,1,0,0,0.635
450,1232,410,169,0.35,7,0,32,0,27.37,27.5,2,1,0,0,0.911
450,1232,410,169,0.35,7,0,32,0,27.37,27.5,3,1,0,0,0.863
450,1232,410,169,0.35,7,0,32,0,27.37,27.5,4,1,0,0,1.045
450,1232,410,169,0.35,7,0,32,0,27.37,27.5,5,1,0,0,1.034
450,1232,410,169,0.35,7,0,32,0,27.37,27.5,6,1,0,0,1.093
450,1232,410,169,0.35,7,0,32,0,27.37,27.5,7,1,0,0,1.035
450,1232,410,169,0.35,7,0,32,0,27.37,27.5,8,1,0,0,1.083
382.5,711,1067,155,0.34,5.4,0,0,67.5,19,12.3,2,1,0,0,0.86
315,711,1067,155,0.34,5.4,0,0,135,19,12.3,2,1,0,0,0.63
225,711,1067,155,0.34,5.4,0,0,225,19,12.3,2,1,0,0,1.07
157.5,711,1067,155,0.34,5.4,0,0,292.5,19,12.3,2,1,0,0,1.05
230,711,1067,155,0.34,5.4,80,0,140,19,12.3,0.08,1,0,0,0.38
230,711,1067,155,0.34,5.4,80,0,140,19,12.3,0.33,1,0,0,0.41
230,711,1067,155,0.34,5.4,80,0,140,19,12.3,0.49,1,0,0,0.48
230,711,1067,155,0.34,5.4,80,0,140,19,12.3,2,1,0,0,0.67
382.5,711,1067,155,0.34,5.4,67.5,0,0,19,12.3,2,1,0,0,0.4
315,711,1067,155,0.34,5.4,135,0,0,19,12.3,2,1,0,0,0.52
450,1232,410,157.5,0.35,7,0,32,0,23.96,23.5,5,1,0,0,0.588
450,1232,410,157.5,0.35,7,0,32,0,23.96,23.5,5,1,0,0,0.651
450,1232,410,157.5,0.35,7,0,32,0,23.96,23.5,5,1,0,0,0.566
450,1232,410,157.5,0.35,7,0,32,0,23.96,23.5,5,1,0,0,0.625
385,800,1000,211.75,0.55,1,0,0,0,16.5,20.2,3,1,0,0,0.468
385,800,1000,211.75,0.55,1,0,0,0,16.5,20.2,5,1,0,0,0.498
385,800,1000,211.75,0.55,1,0,0,0,16.5,20.2,10,1,0,0,0.585
430,800,1000,215,0.5,1,0,0,0,16.5,20.2,3,1,0,0,0.467
430,800,1000,215,0.5,1,0,0,0,16.5,20.2,5,1,0,0,0.479
430,800,1000,215,0.5,1,0,0,0,16.5,20.2,10,1,0,0,0.519
480,800,1000,216,0.45,1,0,0,0,16.5,20.2,3,1,0,0,0.452
480,800,1000,216,0.45,1,0,0,0,16.5,20.2,5,1,0,0,0.481
480,800,1000,216,0.45,1,0,0,0,16.5,20.2,10,1,0,0,0.509
380,810,990,180,0.45,1.2,0,20,0,23.96,27.5,0.25,1,0,0,0.221
380,810,990,180,0.45,1.2,0,20,0,23.96,27.5,3,1,0,0,0.781
380,810,990,180,0.45,1.2,0,20,0,23.96,27.5,5,1,0,0,1.704
